val1,val2,lab1,lab2
119.64298,371.59537,0,1
118.50451,369.2447,0,1
111.093636,372.4223,1,0
112.92996,376.64383,1,0
111.077705,372.5849,0,1
111.29444,369.70682,1,0
111.15038,370.2343,1,0
103.99964,368.95178,0,1
106.43423,373.7786,0,1
114.356544,359.31598,0,1
117.19185,374.6611,0,1
115.379486,357.50015,0,1
114.39468,369.1547,0,1
113.48783,360.20352,0,1
111.045105,369.80975,0,1
108.56347,370.01282,1,0
112.318504,378.29614,1,0
117.04035,363.29807,0,1
114.97172,363.88245,1,0
118.459236,372.1314,1,0
118.062935,372.82135,1,0
116.3888,369.34485,1,0
116.78623,376.30423,1,0
110.19915,364.0838,0,1
116.5745,376.4192,1,0
110.10653,366.97998,1,0
110.06665,368.06152,1,0
108.53103,373.22458,1,0
110.39509,357.0224,1,0
113.02572,365.18713,1,0
113.48168,361.12634,0,1
109.263336,363.55966,1,0
113.79648,368.2625,1,0
110.937614,365.1986,0,1
109.06186,363.9153,0,1
101.79856,367.03357,1,0
103.90036,375.426,0,1
116.722755,365.7788,1,0
116.080315,360.05328,0,1
114.27455,370.9502,0,1
114.84635,363.99265,1,0
112.829506,370.93484,0,1
117.69377,372.99988,1,0
110.1871,366.99918,1,0
116.74796,376.04666,0,1
110.00106,371.50876,0,1
119.619514,372.52438,0,1
118.33134,366.43365,0,1
114.20449,360.15594,1,0
119.44503,367.17657,0,1
117.9338,362.92426,1,0
120.070656,376.94495,0,1
111.917435,362.24933,1,0
115.9905,373.71014,0,1
115.21574,372.69278,0,1
110.7034,380.03418,0,1
116.64853,361.00446,0,1
123.58222,376.2621,1,0
118.92114,364.28378,0,1
120.33775,372.05307,1,0
118.54618,367.9391,0,1
110.45112,354.02423,1,0
114.58331,367.2497,0,1
113.34933,369.34335,0,1
105.36474,351.24878,0,1
106.1338,368.6237,1,0
106.623024,373.58472,1,0
118.39975,359.47495,0,1
118.950714,362.6871,0,1
121.75438,352.5384,1,0
116.96233,354.87637,1,0
122.94749,360.57544,1,0
117.39399,366.00812,1,0
111.753044,345.9295,0,1
110.21301,362.10504,0,1
107.23792,359.75775,1,0
94.64582,369.1076,0,1
98.314705,371.01868,1,0
117.40392,354.72394,0,1
118.32879,358.85962,1,0
115.444695,355.58896,1,0
120.22724,367.83368,0,1
113.005775,354.3349,1,0
120.17953,371.81512,1,0
114.63544,365.10324,1,0
110.515915,363.92685,1,0
117.765724,355.4179,0,1
119.68404,357.46082,0,1
119.40736,367.66153,1,0
117.72038,365.3272,1,0
111.50615,360.9948,0,1
114.70122,367.43448,0,1
112.304665,372.41547,0,1
102.36548,373.85522,0,1
102.81347,373.41116,0,1
115.88329,370.40945,0,1
113.97385,370.9245,1,0
118.94163,374.64386,0,1
116.18394,370.22577,1,0
114.9013,368.60312,0,1
113.62624,367.64975,1,0
116.67062,371.09973,1,0
114.284065,373.8296,0,1
121.831894,373.79395,1,0
115.596115,364.57013,0,1
118.18351,368.58673,0,1
123.50628,375.90143,0,1
117.60875,365.52243,0,1
118.154305,373.17496,1,0
118.13886,369.4231,0,1
106.19019,367.00122,1,0
113.41787,377.938,1,0
99.55257,355.50122,1,0
